sample_id,status,状态显示,gray_flag,灰度标记,gray_ratio,modification_type,修改类型,modification_note,is_boundary,是否边界样本,error_message,source_version,label,timestamp,feature_feature1,feature_feature2,feature_feature3,feature_feature4
sample_001,processed,已处理,gray_candidate,灰度候选,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.946080,1.23,4.56,7.89,10.11
sample_002,processed,已处理,gray_candidate,灰度候选,0.3,none,无,,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.946514,2.34,5.67,8.9,11.22
sample_003,processed,已处理,gray_candidate,灰度候选,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.946904,3.45,6.78,9.01,12.33
sample_004,boundary,边界,gray_candidate,灰度候选,0.3,none,无,,True,是,,5d94e6fff99f,0.0,2026-06-20T15:57:31.947292,4.56,7.89,0.12,13.44
sample_005,processed,已处理,gray_candidate,灰度候选,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.947762,5.67,8.9,1.23,14.55
sample_006,boundary,边界,gray_candidate,灰度候选,0.3,none,无,,True,是,,5d94e6fff99f,0.0,2026-06-20T15:57:31.948287,1.11,2.22,3.33,4.44
sample_007,processed,已处理,gray_candidate,灰度候选,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.948701,6.78,9.01,2.34,15.66
sample_008,boundary,边界,gray_candidate,灰度候选,0.3,none,无,,True,是,,5d94e6fff99f,0.0,2026-06-20T15:57:31.949087,7.89,0.12,3.45,16.77
sample_009,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.949467,8.9,1.23,4.56,17.88
sample_010,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.950283,9.01,2.34,5.67,18.99
sample_011,boundary,边界,normal,正常,0.3,none,无,,True,是,,5d94e6fff99f,1.0,2026-06-20T15:57:31.950756,0.12,3.45,6.78,19.0
sample_012,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.951148,1.35,4.68,7.91,20.12
sample_013,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.951528,2.46,5.79,8.02,21.23
sample_014,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.951904,3.57,6.8,9.13,22.34
sample_015,boundary,边界,normal,正常,0.3,none,无,,True,是,,5d94e6fff99f,1.0,2026-06-20T15:57:31.952277,4.68,7.91,0.24,23.45
sample_016,boundary,边界,normal,正常,0.3,none,无,,True,是,,5d94e6fff99f,1.0,2026-06-20T15:57:31.952661,,99.99,99.99,99.99
sample_017,processed,已处理,normal,正常,0.3,threshold_adjustment,阈值调整,阈值调整后不再是坏行,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.953053,50.0,50.0,50.0,50.0
sample_018,boundary,边界,normal,正常,0.3,none,无,,True,是,,5d94e6fff99f,1.0,2026-06-20T15:57:31.953430,1.0,2.0,3.0,4.0
sample_019,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.953806,5.0,6.0,7.0,8.0
sample_020,boundary,边界,normal,正常,0.3,none,无,,True,是,,5d94e6fff99f,1.0,2026-06-20T15:57:31.954680,99.5,0.5,50.0,99.99
sample_021,boundary,边界,normal,正常,0.3,manual_correction,人工修正,人工修正：feature1从1.00改为1.50,True,是,,5d94e6fff99f,0.0,2026-06-20T15:57:31.955394,1.5,2.5,3.5,4.5
sample_022,processed,已处理,normal,正常,0.3,manual_correction,人工修正,人工修正：feature1从2.60改为2.80,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.956408,2.8,3.7,4.8,5.9
sample_023,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.957286,3.7,4.8,5.9,6.0
sample_024,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.957733,4.8,5.9,6.0,7.1
sample_025,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.958122,5.9,6.0,7.1,8.2
sample_026,processed,已处理,normal,正常,0.3,none,无,,False,否,,5d94e6fff99f,1.0,2026-06-20T15:57:31.958503,6.0,7.0,8.0,9.0
sample_027,processed,已处理,normal,正常,0.3,auto_fix,自动修复,自动修复异常值,False,否,,5d94e6fff99f,0.0,2026-06-20T15:57:31.958867,7.0,8.0,9.0,10.0
sample_028,boundary,边界,normal,正常,0.3,none,无,,True,是,,5d94e6fff99f,1.0,2026-06-20T15:57:31.959221,0.01,99.99,0.02,99.98
