sample_id,label,features
s_0001,0,user_profile=young;item_embedding=emb_001;ctr_7d=0.023;ctr_1d=0.01
s_0002,1,user_profile=mid_age;item_embedding=emb_002;ctr_7d=0.156;ctr_1d=0.089
s_0003,0,user_profile=senior;item_embedding=emb_003;ctr_7d=0.008;ctr_1d=0.005
s_0004,1,user_profile=young;item_embedding=emb_004;ctr_7d=0.201;ctr_1d=0.12
s_0005,0,user_profile=mid_age;item_embedding=emb_005;ctr_7d=0.045;ctr_1d=0.02
s_0006,2,user_profile=young;item_embedding=emb_006;ctr_7d=0.033
,0,user_profile=young;item_embedding=emb_007
s_0008,0,
s_0009,1,user_profile=senior;item_embedding=emb_009;ctr_7d=0.091;ctr_1d=0.05
s_0010,0,user_profile=young;item_embedding=emb_010;ctr_7d=0.067;ctr_1d=0.03
s_0011,1,user_profile=mid_age;item_embedding=emb_011;ctr_7d=0.188;ctr_1d=0.1
s_0012,0,user_profile=young;item_embedding=emb_012;ctr_7d=;ctr_1d=0.02
s_0013,bad_label_here,user_profile=senior;item_embedding=emb_013
s_0014,1,user_profile=young;item_embedding=emb_014;ctr_7d=0.134;ctr_1d=0.07
s_0015,0,user_profile=mid_age;item_embedding=emb_015;ctr_7d=0.056;ctr_1d=0.03
s_0016,1,user_profile=young;item_embedding=emb_016;ctr_7d=0.223;ctr_1d=0.15
s_0017,0,user_profile=senior;item_embedding=emb_017;ctr_7d=0.012;ctr_1d=0.008
s_0018,1,user_profile=mid_age;item_embedding=emb_018;ctr_7d=0.167;ctr_1d=0.09
s_0019,0,user_profile=young;item_embedding=emb_019;ctr_7d=0.078;ctr_1d=0.04
s_0020,1,user_profile=senior;item_embedding=emb_020;ctr_7d=0.145;ctr_1d=0.08
